entry_id	meaning_id	arabic	meaning	sort_order	source_volume	source_chapter	source_row
fe0a480b-0853-4ebd-9a6a-c1ff829976fc	7febbbc7-fe25-4330-a83f-555577567173	ٱلْقُرْءَان	the Quran	47			47
de1b6142-e6cd-4c46-8e66-d0b028bcf40e	da3921f2-c947-421f-82bf-9f1cb33459c3	إِن	if	48			48
757de5f8-6e87-40a4-a1ac-6e421b0e570d	ba8d6156-a290-4291-bb14-d91006b10ef3	شَآءَ	wills	49			49
0cd10cd7-1def-46b3-b520-b75ac051875e	7459e187-c627-48c5-9e3b-567c5bd88251	إِنَّ	indeed	50			50
5a653900-46d8-4336-acf0-3f4b73d555bd	bc18b1a5-34b3-4be2-bb1a-842af5818375	إِنَّمَا	only	51			51
2624b7e2-d75b-4236-9477-391987164c4b	1996b053-b829-431b-8a24-b569946fd2eb	عمَل	deed	52			52
2a77ffb4-1809-4676-8e0f-d8693a28fb5e	0747774c-6c7f-40de-be5e-b69212cbbf3e	بِ	in	53			53
ebe81eed-7ddb-47a4-b2e2-f10212a9ade3	c55525ab-b34a-4920-a0b3-9b51d4471461	فِى	in/into	54			54
0852dcf1-3d43-448e-b54f-3996f67c6876	8a83b94f-3760-4ea4-83a1-a8ec972b646d	ٱلسَّبِيل	the way	55			55
20a91727-c084-4300-8bf3-a536aad44259	0342f8ed-b8b7-444b-b65d-16ff96ac3ade	عَلٰى	on; upon	56			56
f2fc7359-58ab-41db-a961-681174ba5468	5e0b0451-9067-4ace-9aa8-d47a36b12605	ٱلَّذِى	(the one) who	57			57
5a1103bd-013b-4126-8bb9-21a6f59fa39a	4e620e11-5cb4-4db4-8196-e7863817addc	اَيٌّ	which	58			58
64325683-e544-4eca-8d52-6775c447e375	28950ff0-71b6-4612-9d43-71ddaa18f294	أَحْسَن	best	59			59
9fe5fb5d-465a-42df-bd49-94f336fbec70	420435e6-d3f7-4c33-a7bd-2546656548c0	اِلٰى	to	60			60
d8321a7a-429a-4ac4-9f76-1024746c4bf8	3247e9df-6043-41b3-9c62-a9916dad99dd	مَعَ	with	61			61
4dc20d35-0a33-4994-acd5-da7cafe9a957	ecee5bd2-02b8-4a1e-a996-8a71c8011b17	عِندَ	with	62			62
585cc924-4f96-49c6-a69d-78e4d0e7277c	7ed3c4d5-12b1-41cd-9129-3a60cb723a28	ٱلْإِنسَٰن	the mankind	63			63
16ebd9e3-8aa3-4a0c-b76b-e7f4d597b497	b7b3276d-ed43-46fa-a7a6-f5715f82fdee	إِلَّا	except	64			64
6d047c0b-9ecf-4f5b-8dec-21b780cab338	d4110f68-d39c-42aa-a367-8592aaf6e77e	اٰمَنُوْا	they believed	65			65
29ffac92-2d87-402a-9dfa-736997d33cf2	20992dc7-c7ad-4b35-ad2d-3eb1e728bdba	ٱلْحَقّ	the truth	66			66
420ca5c1-58e6-47e2-ae38-922ed711d17c	5da75413-1dcc-4bd4-af07-c6e23505d101	اَوْ	or	67			67
917aa949-b190-49c6-b345-c5ced93aef1a	98d5fe44-ee51-49ce-90b0-88392468bf13	هٰذَا	this (masculine)	68			68
2a5df52b-ad3f-4ef7-90bf-b01b1907f1bc	e48dbd72-7856-4e0d-bbfa-c29d7ec3fa61	هٰذِهٖ	this (feminine)	69			69
7e9c9a30-ade6-411e-9d03-870059be4778	69036a4f-012a-4696-9e9c-ce11cf48b813	ذٰلِكَ	that (masculine)	70			70
67a3a477-f699-4179-ba38-a9740a100dc1	ba7f9bd0-da05-4a5b-9d14-d5d311999a65	تِلْكَ	that (feminine)	71			71
c0caeb98-ad86-4835-972b-a661ad0d8b44	f176eca0-0e73-496b-b6bd-132f1ef43b19	هَٰٓؤُلَآءِ	these	72			72
0be6f280-0976-4f6d-b098-6797e7f82a68	0d7945b4-6ba9-4a9f-a560-122b8d14a3ba	أُو۟لَٰٓئِكَ	those	73			73
0c4d3f3b-35ee-4fb4-b739-455fcdc690c4	9bef3b66-fb19-483c-87c3-8b158237ae7b	إِذْ	when (past)	74			74
f5ec8680-6c70-4bff-9954-3bf7f1777092	07de5146-cdbc-493f-afed-6e3c895cca62	إِذَا	when/if/so (future)	75			75
9d4d04da-a81d-45f6-8d0b-86d1e552ae07	0bf9c38c-be94-4adf-b183-87efc283a722	جَآءَ	he came	76			76
7c009793-97ce-493b-a991-ae7789a3249c	e81a28cc-4c64-4c04-816c-5d13dc5ed238	ٱلنَّاس	the people	77			77
403d09f5-edd0-4299-8d97-f57f8a215bfd	b2b0155a-469e-479e-b11d-1de146c40fb8	فَعَلَ	he did	78			78
66aa5195-21a1-4832-9f95-cb5129d1d955	a6e0e909-7d5e-4d1c-8482-bd4c4388c2f5	جَعَلَ	he made / he set	79			79
